image_file,source_pdf,page_number,image_index,width,height
next_platform_is_choice_1_p001_img01.jpeg,next_platform_is_choice_1.pdf,1,1,72,72
next_platform_is_choice_1_p001_img02.jpeg,next_platform_is_choice_1.pdf,1,2,72,72
next_platform_is_choice_1_p001_img03.jpeg,next_platform_is_choice_1.pdf,1,3,1540,1538
next_platform_is_choice_1_p001_img04.jpeg,next_platform_is_choice_1.pdf,1,4,1540,1538
next_platform_is_choice_1_p001_img05.jpeg,next_platform_is_choice_1.pdf,1,5,1540,1538
next_platform_is_choice_1_p001_img06.jpeg,next_platform_is_choice_1.pdf,1,6,1540,1538
next_platform_is_choice_1_p015_img01.jpeg,next_platform_is_choice_1.pdf,15,1,2048,1538
next_platform_is_choice_1_p015_img02.jpeg,next_platform_is_choice_1.pdf,15,2,2048,1538
next_platform_is_choice_1_p015_img03.jpeg,next_platform_is_choice_1.pdf,15,3,2048,1538
next_platform_is_choice_1_p016_img01.jpeg,next_platform_is_choice_1.pdf,16,1,2048,1538
next_platform_is_choice_1_p017_img01.jpeg,next_platform_is_choice_1.pdf,17,1,2048,1538
