image_file,source_pdf,page_number,image_index,width,height
redhat_lightspeed_roadmap_p001_img01.jpeg,redhat_lightspeed_roadmap.pdf,1,1,72,72
redhat_lightspeed_roadmap_p001_img02.jpeg,redhat_lightspeed_roadmap.pdf,1,2,72,72
redhat_lightspeed_roadmap_p001_img03.jpeg,redhat_lightspeed_roadmap.pdf,1,3,1540,1538
redhat_lightspeed_roadmap_p001_img04.jpeg,redhat_lightspeed_roadmap.pdf,1,4,1540,1538
redhat_lightspeed_roadmap_p001_img05.jpeg,redhat_lightspeed_roadmap.pdf,1,5,1540,1538
redhat_lightspeed_roadmap_p001_img06.jpeg,redhat_lightspeed_roadmap.pdf,1,6,1540,1538
redhat_lightspeed_roadmap_p001_img07.jpeg,redhat_lightspeed_roadmap.pdf,1,7,1540,1538
redhat_lightspeed_roadmap_p001_img08.jpeg,redhat_lightspeed_roadmap.pdf,1,8,1540,1538
redhat_lightspeed_roadmap_p001_img09.jpeg,redhat_lightspeed_roadmap.pdf,1,9,1540,1538
redhat_lightspeed_roadmap_p001_img10.jpeg,redhat_lightspeed_roadmap.pdf,1,10,1540,1538
redhat_lightspeed_roadmap_p001_img11.jpeg,redhat_lightspeed_roadmap.pdf,1,11,1540,1538
redhat_lightspeed_roadmap_p001_img12.jpeg,redhat_lightspeed_roadmap.pdf,1,12,1540,1538
redhat_lightspeed_roadmap_p001_img13.jpeg,redhat_lightspeed_roadmap.pdf,1,13,1540,1538
redhat_lightspeed_roadmap_p001_img14.jpeg,redhat_lightspeed_roadmap.pdf,1,14,1540,1538
redhat_lightspeed_roadmap_p001_img15.jpeg,redhat_lightspeed_roadmap.pdf,1,15,1540,1538
redhat_lightspeed_roadmap_p001_img16.jpeg,redhat_lightspeed_roadmap.pdf,1,16,1540,1538
redhat_lightspeed_roadmap_p001_img17.jpeg,redhat_lightspeed_roadmap.pdf,1,17,1540,1538
redhat_lightspeed_roadmap_p001_img18.jpeg,redhat_lightspeed_roadmap.pdf,1,18,1540,1538
redhat_lightspeed_roadmap_p001_img19.jpeg,redhat_lightspeed_roadmap.pdf,1,19,1540,1538
redhat_lightspeed_roadmap_p001_img20.jpeg,redhat_lightspeed_roadmap.pdf,1,20,1540,1538
redhat_lightspeed_roadmap_p002_img01.jpeg,redhat_lightspeed_roadmap.pdf,2,1,2048,1538
redhat_lightspeed_roadmap_p002_img02.jpeg,redhat_lightspeed_roadmap.pdf,2,2,2048,1538
redhat_lightspeed_roadmap_p005_img01.jpeg,redhat_lightspeed_roadmap.pdf,5,1,2048,1538
redhat_lightspeed_roadmap_p005_img02.jpeg,redhat_lightspeed_roadmap.pdf,5,2,2048,1538
redhat_lightspeed_roadmap_p005_img03.jpeg,redhat_lightspeed_roadmap.pdf,5,3,2048,1538
redhat_lightspeed_roadmap_p006_img01.jpeg,redhat_lightspeed_roadmap.pdf,6,1,2048,1538
redhat_lightspeed_roadmap_p006_img02.jpeg,redhat_lightspeed_roadmap.pdf,6,2,2048,1538
redhat_lightspeed_roadmap_p008_img01.jpeg,redhat_lightspeed_roadmap.pdf,8,1,2048,1538
redhat_lightspeed_roadmap_p009_img01.jpeg,redhat_lightspeed_roadmap.pdf,9,1,2048,1538
redhat_lightspeed_roadmap_p009_img02.jpeg,redhat_lightspeed_roadmap.pdf,9,2,2048,1538
redhat_lightspeed_roadmap_p009_img03.jpeg,redhat_lightspeed_roadmap.pdf,9,3,2048,1538
redhat_lightspeed_roadmap_p009_img04.jpeg,redhat_lightspeed_roadmap.pdf,9,4,2048,1538
redhat_lightspeed_roadmap_p009_img05.jpeg,redhat_lightspeed_roadmap.pdf,9,5,2048,1538
redhat_lightspeed_roadmap_p010_img01.jpeg,redhat_lightspeed_roadmap.pdf,10,1,2048,1538
redhat_lightspeed_roadmap_p010_img02.jpeg,redhat_lightspeed_roadmap.pdf,10,2,2048,1538
redhat_lightspeed_roadmap_p010_img03.jpeg,redhat_lightspeed_roadmap.pdf,10,3,2048,1538
redhat_lightspeed_roadmap_p010_img04.jpeg,redhat_lightspeed_roadmap.pdf,10,4,2048,1538
redhat_lightspeed_roadmap_p010_img05.jpeg,redhat_lightspeed_roadmap.pdf,10,5,2048,1538
redhat_lightspeed_roadmap_p011_img01.jpeg,redhat_lightspeed_roadmap.pdf,11,1,2048,1538
redhat_lightspeed_roadmap_p011_img02.jpeg,redhat_lightspeed_roadmap.pdf,11,2,2048,1538
redhat_lightspeed_roadmap_p012_img01.jpeg,redhat_lightspeed_roadmap.pdf,12,1,2048,1538
redhat_lightspeed_roadmap_p012_img02.jpeg,redhat_lightspeed_roadmap.pdf,12,2,2048,1538
