image_file,source_pdf,page_number,image_index,width,height
Demystifying_Quantization_1778257807246001XVQA_p001_img01.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,1,1,2500,1406
Demystifying_Quantization_1778257807246001XVQA_p002_img01.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,2,1,306,72
Demystifying_Quantization_1778257807246001XVQA_p002_img02.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,2,2,1000,395
Demystifying_Quantization_1778257807246001XVQA_p002_img03.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,2,3,2048,793
Demystifying_Quantization_1778257807246001XVQA_p003_img01.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,3,1,306,72
Demystifying_Quantization_1778257807246001XVQA_p003_img02.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,3,2,136,128
Demystifying_Quantization_1778257807246001XVQA_p003_img03.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,3,3,136,128
Demystifying_Quantization_1778257807246001XVQA_p003_img04.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,3,4,136,128
Demystifying_Quantization_1778257807246001XVQA_p003_img05.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,3,5,136,128
Demystifying_Quantization_1778257807246001XVQA_p004_img01.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,4,1,2500,1406
Demystifying_Quantization_1778257807246001XVQA_p005_img01.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,5,1,306,72
Demystifying_Quantization_1778257807246001XVQA_p005_img02.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,5,2,680,486
Demystifying_Quantization_1778257807246001XVQA_p005_img03.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,5,3,1532,832
Demystifying_Quantization_1778257807246001XVQA_p006_img01.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,6,1,306,72
Demystifying_Quantization_1778257807246001XVQA_p006_img02.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,6,2,2048,641
Demystifying_Quantization_1778257807246001XVQA_p007_img01.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,7,1,306,72
Demystifying_Quantization_1778257807246001XVQA_p008_img01.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,8,1,306,72
Demystifying_Quantization_1778257807246001XVQA_p008_img02.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,8,2,2048,853
Demystifying_Quantization_1778257807246001XVQA_p009_img01.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,9,1,306,72
Demystifying_Quantization_1778257807246001XVQA_p009_img02.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,9,2,1000,402
Demystifying_Quantization_1778257807246001XVQA_p009_img03.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,9,3,2048,803
Demystifying_Quantization_1778257807246001XVQA_p010_img01.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,10,1,2500,1406
Demystifying_Quantization_1778257807246001XVQA_p011_img01.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,11,1,306,72
Demystifying_Quantization_1778257807246001XVQA_p011_img02.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,11,2,1568,882
Demystifying_Quantization_1778257807246001XVQA_p012_img01.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,12,1,306,72
Demystifying_Quantization_1778257807246001XVQA_p012_img02.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,12,2,1000,476
Demystifying_Quantization_1778257807246001XVQA_p012_img03.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,12,3,2048,1088
Demystifying_Quantization_1778257807246001XVQA_p013_img01.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,13,1,306,72
Demystifying_Quantization_1778257807246001XVQA_p014_img01.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,14,1,2500,1406
Demystifying_Quantization_1778257807246001XVQA_p015_img01.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,15,1,2500,1406
Demystifying_Quantization_1778257807246001XVQA_p015_img02.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,15,2,306,72
Demystifying_Quantization_1778257807246001XVQA_p016_img01.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,16,1,2500,1406
Demystifying_Quantization_1778257807246001XVQA_p016_img02.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,16,2,512,512
Demystifying_Quantization_1778257807246001XVQA_p017_img01.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,17,1,2500,1406
Demystifying_Quantization_1778257807246001XVQA_p017_img02.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,17,2,512,512
Demystifying_Quantization_1778257807246001XVQA_p017_img03.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,17,3,512,512
Demystifying_Quantization_1778257807246001XVQA_p017_img04.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,17,4,512,512
Demystifying_Quantization_1778257807246001XVQA_p017_img05.jpeg,Demystifying Quantization_1778257807246001XVQA.pdf,17,5,512,512
