image_file,source_pdf,page_number,image_index,width,height
next_platform_is_choice_2_p001_img01.jpeg,next_platform_is_choice_2.pdf,1,1,72,72
next_platform_is_choice_2_p001_img02.jpeg,next_platform_is_choice_2.pdf,1,2,72,72
next_platform_is_choice_2_p001_img03.jpeg,next_platform_is_choice_2.pdf,1,3,1540,1538
next_platform_is_choice_2_p001_img04.jpeg,next_platform_is_choice_2.pdf,1,4,1540,1538
next_platform_is_choice_2_p001_img05.jpeg,next_platform_is_choice_2.pdf,1,5,1540,1538
next_platform_is_choice_2_p001_img06.jpeg,next_platform_is_choice_2.pdf,1,6,1540,1538
next_platform_is_choice_2_p001_img07.jpeg,next_platform_is_choice_2.pdf,1,7,1540,1538
next_platform_is_choice_2_p001_img08.jpeg,next_platform_is_choice_2.pdf,1,8,1540,1538
next_platform_is_choice_2_p001_img09.jpeg,next_platform_is_choice_2.pdf,1,9,1540,1538
next_platform_is_choice_2_p001_img10.jpeg,next_platform_is_choice_2.pdf,1,10,1540,1538
next_platform_is_choice_2_p001_img11.jpeg,next_platform_is_choice_2.pdf,1,11,1540,1538
next_platform_is_choice_2_p001_img12.jpeg,next_platform_is_choice_2.pdf,1,12,1540,1538
next_platform_is_choice_2_p001_img13.jpeg,next_platform_is_choice_2.pdf,1,13,1540,1538
next_platform_is_choice_2_p001_img14.jpeg,next_platform_is_choice_2.pdf,1,14,1540,1538
next_platform_is_choice_2_p006_img01.jpeg,next_platform_is_choice_2.pdf,6,1,2048,1538
next_platform_is_choice_2_p008_img01.jpeg,next_platform_is_choice_2.pdf,8,1,2048,1538
next_platform_is_choice_2_p009_img01.jpeg,next_platform_is_choice_2.pdf,9,1,2048,1538
next_platform_is_choice_2_p011_img01.jpeg,next_platform_is_choice_2.pdf,11,1,2048,1538
next_platform_is_choice_2_p012_img01.jpeg,next_platform_is_choice_2.pdf,12,1,2048,1538
next_platform_is_choice_2_p013_img01.jpeg,next_platform_is_choice_2.pdf,13,1,2048,1538
next_platform_is_choice_2_p015_img01.jpeg,next_platform_is_choice_2.pdf,15,1,2048,1538
next_platform_is_choice_2_p017_img01.jpeg,next_platform_is_choice_2.pdf,17,1,2048,1538
next_platform_is_choice_2_p017_img02.jpeg,next_platform_is_choice_2.pdf,17,2,2048,1538
next_platform_is_choice_2_p018_img01.jpeg,next_platform_is_choice_2.pdf,18,1,2048,1538
next_platform_is_choice_2_p018_img02.jpeg,next_platform_is_choice_2.pdf,18,2,2048,1538
next_platform_is_choice_2_p018_img03.jpeg,next_platform_is_choice_2.pdf,18,3,2048,1538
next_platform_is_choice_2_p019_img01.jpeg,next_platform_is_choice_2.pdf,19,1,2048,1538
next_platform_is_choice_2_p021_img01.jpeg,next_platform_is_choice_2.pdf,21,1,2048,1538
next_platform_is_choice_2_2_p001_img01.jpeg,next_platform_is_choice_2_2.pdf,1,1,72,72
next_platform_is_choice_2_2_p001_img02.jpeg,next_platform_is_choice_2_2.pdf,1,2,72,72
