image_file,source_pdf,page_number,image_index,width,height
agent_skills_with_quarkus_and_langchain4j_skills_module_p001_img01.jpeg,agent_skills_with_quarkus_and_langchain4j_skills_module.pdf,1,1,72,72
agent_skills_with_quarkus_and_langchain4j_skills_module_p001_img02.jpeg,agent_skills_with_quarkus_and_langchain4j_skills_module.pdf,1,2,72,72
agent_skills_with_quarkus_and_langchain4j_skills_module_p001_img03.jpeg,agent_skills_with_quarkus_and_langchain4j_skills_module.pdf,1,3,1540,1538
agent_skills_with_quarkus_and_langchain4j_skills_module_p001_img04.jpeg,agent_skills_with_quarkus_and_langchain4j_skills_module.pdf,1,4,1540,1538
agent_skills_with_quarkus_and_langchain4j_skills_module_p001_img05.jpeg,agent_skills_with_quarkus_and_langchain4j_skills_module.pdf,1,5,1540,1538
agent_skills_with_quarkus_and_langchain4j_skills_module_p001_img06.jpeg,agent_skills_with_quarkus_and_langchain4j_skills_module.pdf,1,6,1540,1538
agent_skills_with_quarkus_and_langchain4j_skills_module_p002_img01.jpeg,agent_skills_with_quarkus_and_langchain4j_skills_module.pdf,2,1,2048,1538
agent_skills_with_quarkus_and_langchain4j_skills_module_p003_img01.jpeg,agent_skills_with_quarkus_and_langchain4j_skills_module.pdf,3,1,2048,1538
agent_skills_with_quarkus_and_langchain4j_skills_module_p005_img01.jpeg,agent_skills_with_quarkus_and_langchain4j_skills_module.pdf,5,1,2048,1538
agent_skills_with_quarkus_and_langchain4j_skills_module_p005_img02.jpeg,agent_skills_with_quarkus_and_langchain4j_skills_module.pdf,5,2,2048,1538
agent_skills_with_quarkus_and_langchain4j_skills_module_p006_img01.jpeg,agent_skills_with_quarkus_and_langchain4j_skills_module.pdf,6,1,2048,1538
agent_skills_with_quarkus_and_langchain4j_skills_module_p006_img02.jpeg,agent_skills_with_quarkus_and_langchain4j_skills_module.pdf,6,2,2048,1538
