image_file,source_pdf,page_number,image_index,width,height
AIOps_meets_agentic_automation_servicenow_redhat_transform_IT_operations_p001_img01.jpeg,AIOps_meets_agentic_automation_servicenow_redhat_transform_IT_operations.pdf,1,1,72,72
AIOps_meets_agentic_automation_servicenow_redhat_transform_IT_operations_p001_img02.jpeg,AIOps_meets_agentic_automation_servicenow_redhat_transform_IT_operations.pdf,1,2,72,72
AIOps_meets_agentic_automation_servicenow_redhat_transform_IT_operations_p001_img03.jpeg,AIOps_meets_agentic_automation_servicenow_redhat_transform_IT_operations.pdf,1,3,1540,1538
AIOps_meets_agentic_automation_servicenow_redhat_transform_IT_operations_p001_img04.jpeg,AIOps_meets_agentic_automation_servicenow_redhat_transform_IT_operations.pdf,1,4,1540,1538
AIOps_meets_agentic_automation_servicenow_redhat_transform_IT_operations_p001_img05.jpeg,AIOps_meets_agentic_automation_servicenow_redhat_transform_IT_operations.pdf,1,5,1540,1538
AIOps_meets_agentic_automation_servicenow_redhat_transform_IT_operations_p004_img01.jpeg,AIOps_meets_agentic_automation_servicenow_redhat_transform_IT_operations.pdf,4,1,2048,1538
AIOps_meets_agentic_automation_servicenow_redhat_transform_IT_operations_p006_img01.jpeg,AIOps_meets_agentic_automation_servicenow_redhat_transform_IT_operations.pdf,6,1,2048,1538
AIOps_meets_agentic_automation_servicenow_redhat_transform_IT_operations_p011_img01.jpeg,AIOps_meets_agentic_automation_servicenow_redhat_transform_IT_operations.pdf,11,1,2048,1538
Summit_BO1511___AIOps_meets_agentic_automation__ServiceNow_and_Red_Hat_transform_IT_operations___Final_2026_1778185449516001dcIJ_p001_img01.png,Summit BO1511 _ AIOps meets agentic automation_ ServiceNow and Red Hat transform IT operations _ Final 2026_1778185449516001dcIJ.pdf,1,1,246,70
Summit_BO1511___AIOps_meets_agentic_automation__ServiceNow_and_Red_Hat_transform_IT_operations___Final_2026_1778185449516001dcIJ_p001_img02.png,Summit BO1511 _ AIOps meets agentic automation_ ServiceNow and Red Hat transform IT operations _ Final 2026_1778185449516001dcIJ.pdf,1,2,246,70
