image_file,source_pdf,page_number,image_index,width,height
protecting_genai_apps_with_GAAS_transcript_p001_img01.jpeg,protecting_genai_apps_with_GAAS_transcript.pdf,1,1,72,72
protecting_genai_apps_with_GAAS_transcript_p001_img02.jpeg,protecting_genai_apps_with_GAAS_transcript.pdf,1,2,72,72
protecting_genai_apps_with_GAAS_transcript_p005_img01.jpeg,protecting_genai_apps_with_GAAS_transcript.pdf,5,1,90,90
PXL_20260513_134633186.jpg,PXL_20260513_134633186.jpg,,,,
PXL_20260513_134703038.jpg,PXL_20260513_134703038.jpg,,,,
PXL_20260513_134745263.jpg,PXL_20260513_134745263.jpg,,,,
PXL_20260513_134745375.jpg,PXL_20260513_134745375.jpg,,,,
PXL_20260513_134804843.jpg,PXL_20260513_134804843.jpg,,,,
PXL_20260513_135037241.jpg,PXL_20260513_135037241.jpg,,,,
PXL_20260513_203323593.jpg,PXL_20260513_203323593.jpg,,,,
PXL_20260513_203457046.jpg,PXL_20260513_203457046.jpg,,,,
PXL_20260513_203534782.jpg,PXL_20260513_203534782.jpg,,,,
