image_file,source_pdf,page_number,image_index,width,height
autorag_automl_p001_img01.jpeg,autorag_automl.pdf,1,1,72,72
autorag_automl_p001_img02.jpeg,autorag_automl.pdf,1,2,72,72
autorag_automl_p001_img03.jpeg,autorag_automl.pdf,1,3,1540,1538
autorag_automl_p001_img04.jpeg,autorag_automl.pdf,1,4,1540,1538
autorag_automl_p001_img05.jpeg,autorag_automl.pdf,1,5,1540,1538
autorag_automl_p001_img06.jpeg,autorag_automl.pdf,1,6,1540,1538
autorag_automl_p001_img07.jpeg,autorag_automl.pdf,1,7,1540,1538
autorag_automl_p001_img08.jpeg,autorag_automl.pdf,1,8,1540,1538
autorag_automl_p001_img09.jpeg,autorag_automl.pdf,1,9,1540,1538
autorag_automl_p001_img10.jpeg,autorag_automl.pdf,1,10,1540,1538
autorag_automl_p001_img11.jpeg,autorag_automl.pdf,1,11,1540,1538
autorag_automl_p001_img12.jpeg,autorag_automl.pdf,1,12,1540,1538
autorag_automl_p001_img13.jpeg,autorag_automl.pdf,1,13,1540,1538
autorag_automl_p001_img14.jpeg,autorag_automl.pdf,1,14,1540,1538
autorag_automl_p001_img15.jpeg,autorag_automl.pdf,1,15,1540,1538
autorag_automl_p001_img16.jpeg,autorag_automl.pdf,1,16,1540,1538
autorag_automl_p001_img17.jpeg,autorag_automl.pdf,1,17,1540,1538
autorag_automl_p001_img18.jpeg,autorag_automl.pdf,1,18,1540,1538
autorag_automl_p001_img19.jpeg,autorag_automl.pdf,1,19,1540,1538
autorag_automl_p001_img20.jpeg,autorag_automl.pdf,1,20,1540,1538
autorag_automl_p003_img01.jpeg,autorag_automl.pdf,3,1,2048,1538
autorag_automl_p003_img02.jpeg,autorag_automl.pdf,3,2,2048,1538
autorag_automl_p004_img01.jpeg,autorag_automl.pdf,4,1,2048,1538
autorag_automl_p004_img02.jpeg,autorag_automl.pdf,4,2,2048,1538
autorag_automl_p004_img03.jpeg,autorag_automl.pdf,4,3,2048,1538
autorag_automl_p004_img04.jpeg,autorag_automl.pdf,4,4,2048,1538
autorag_automl_p005_img01.jpeg,autorag_automl.pdf,5,1,2048,1538
autorag_automl_p006_img01.jpeg,autorag_automl.pdf,6,1,2048,1538
autorag_automl_p007_img01.jpeg,autorag_automl.pdf,7,1,2048,1538
autorag_automl_p007_img02.jpeg,autorag_automl.pdf,7,2,2048,1538
autorag_automl_p008_img01.jpeg,autorag_automl.pdf,8,1,2048,1538
autorag_automl_p009_img01.jpeg,autorag_automl.pdf,9,1,2048,1538
autorag_automl_p010_img01.jpeg,autorag_automl.pdf,10,1,2048,1538
autorag_automl_p010_img02.jpeg,autorag_automl.pdf,10,2,2048,1538
autorag_automl_p010_img03.jpeg,autorag_automl.pdf,10,3,2048,1538
autorag_automl_p011_img01.jpeg,autorag_automl.pdf,11,1,2048,1538
autorag_automl_p011_img02.jpeg,autorag_automl.pdf,11,2,2048,1538
autorag_automl_p012_img01.jpeg,autorag_automl.pdf,12,1,2048,1538
autorag_automl_p013_img01.jpeg,autorag_automl.pdf,13,1,2048,1538
autorag_automl_p015_img01.jpeg,autorag_automl.pdf,15,1,2048,1538
autorag_automl_p016_img01.jpeg,autorag_automl.pdf,16,1,2048,1538
autorag_automl_p016_img02.jpeg,autorag_automl.pdf,16,2,2048,1538
autorag_automl_p016_img03.jpeg,autorag_automl.pdf,16,3,2048,1538
