image_file,source_pdf,page_number,image_index,width,height
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p001_img01.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,1,1,72,72
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p001_img02.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,1,2,72,72
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p001_img03.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,1,3,1540,1538
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p001_img04.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,1,4,1540,1538
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p001_img05.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,1,5,1540,1538
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p001_img06.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,1,6,1540,1538
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p001_img07.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,1,7,1540,1538
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p001_img08.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,1,8,1540,1538
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p001_img09.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,1,9,1540,1538
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p001_img10.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,1,10,1540,1538
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p001_img11.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,1,11,1538,1540
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p001_img12.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,1,12,1540,1538
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p002_img01.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,2,1,2048,1538
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p003_img01.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,3,1,2048,1538
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p004_img01.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,4,1,2048,1538
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p004_img02.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,4,2,2048,1538
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p006_img01.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,6,1,2048,1538
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p007_img01.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,7,1,2048,1538
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p007_img02.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,7,2,2048,1538
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p007_img03.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,7,3,2048,1538
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p011_img01.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,11,1,2048,1538
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p012_img01.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,12,1,1538,2048
building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai_p012_img02.jpeg,building_production_ready_ai_agents_for_enterprise_it_automation_with_rhoai.pdf,12,2,2048,1538
