image_file,source_pdf,page_number,image_index,width,height
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p001_img01.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,1,1,496,117
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p001_img02.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,1,2,2048,1152
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p002_img01.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,2,1,384,290
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p002_img02.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,2,2,1376,768
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p003_img01.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,3,1,384,290
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p003_img02.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,3,2,1671,1025
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p003_img03.png,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,3,3,400,400
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p004_img01.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,4,1,384,290
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p005_img01.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,5,1,384,290
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p005_img02.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,5,2,1622,2048
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p006_img01.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,6,1,384,290
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p006_img02.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,6,2,1482,1412
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p007_img01.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,7,1,384,290
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p007_img02.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,7,2,2048,1143
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p008_img01.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,8,1,384,290
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p008_img02.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,8,2,360,361
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p008_img03.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,8,3,360,360
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p008_img04.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,8,4,360,360
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p008_img05.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,8,5,360,360
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p008_img06.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,8,6,360,361
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p008_img07.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,8,7,360,360
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p008_img08.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,8,8,360,360
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p008_img09.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,8,9,360,360
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p008_img10.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,8,10,1482,1412
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p008_img11.png,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,8,11,74,71
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p008_img12.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,8,12,360,360
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p009_img01.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,9,1,384,290
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p009_img02.png,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,9,2,400,400
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p009_img03.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,9,3,1280,784
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p009_img04.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,9,4,254,198
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p009_img05.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,9,5,2048,603
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p009_img06.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,9,6,576,594
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p009_img07.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,9,7,280,280
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p009_img08.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,9,8,1622,2048
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p010_img01.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,10,1,384,290
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p011_img01.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,11,1,384,290
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p011_img02.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,11,2,1222,709
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p011_img03.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,11,3,280,240
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p012_img01.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,12,1,384,290
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p012_img02.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,12,2,2048,1387
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p013_img01.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,13,1,2500,1406
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p014_img01.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,14,1,384,290
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p014_img02.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,14,2,2048,1302
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p015_img01.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,15,1,2500,1407
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p015_img02.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,15,2,384,290
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p015_img03.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,15,3,1024,559
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p016_img01.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,16,1,384,290
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p016_img02.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,16,2,550,378
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p016_img03.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,16,3,27,26
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p016_img04.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,16,4,24,26
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p016_img05.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,16,5,24,26
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p016_img06.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,16,6,27,26
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p016_img07.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,16,7,550,305
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p016_img08.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,16,8,1622,2048
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p017_img01.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,17,1,384,290
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p017_img02.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,17,2,2048,1166
LB2865_Zero_to_Hero_slides_1778248483988001sE7Q_p018_img01.jpeg,LB2865 Zero to Hero slides_1778248483988001sE7Q.pdf,18,1,384,290
